# Map reported phase names to IASPEI standard phase list
# reported phase,  IASPEI phase
PhaseMap
    p         P
    P         P
    P/PKP     P
   pP        pP
    AP       pP
    Ap       pP
    ap       pP
    *PP      pP
   pwP       pwP
   pS        pS
    Pg        Pg
    PG        Pg
    pg        Pg
   pPg       pPg
   sPg       sPg
    Pb        Pb
    PB        Pb
    P*        Pb
    pb        Pb
   pPb       pPb
   sPb       sPb
    Pn        Pn
    PN        Pn
    pn        Pn
   pPn       pPn
   sPn       sPn
    PCP       PcP
    PcP       PcP
    pcp       PcP
    PcS       PcS
    PCS       PcS
    PKiKP     PKiKP
   pPKiKP    pPKiKP
   sPKiKP    sPKiKP
    PKP       PKPdf
    pkp       PKPdf
    PKPabc    PKPdf
    PKPd      PKPdf
    PKIKP     PKPdf
    PKPdf     PKPdf
    PKPDF     PKPdf
    pkpdf     PKPdf
    PKHKP     PKPpre     # no TT
    PKhKP     PKPpre     # no TT
    PKPpre    PKPpre     # no TT
    PKPPRE    PKPpre     # no TT
    PKP2      PKPab
    pkp2      PKPab
    PKPab     PKPab
    PKPAB     PKPab
    pkpab     PKPab
    PKP1      PKPbc
    pkp1      PKPbc
    PKPbc     PKPbc
    PKPBC     PKPbc
    pkpbc     PKPbc
    APKP     pPKPdf
    SPKP     sPKPdf
   pPKP      pPKPdf
   pPKPdf    pPKPdf
   pPKPbc    pPKPbc
   pPKPab    pPKPab
   sPKPdf    sPKPdf
   sPKPbc    sPKPbc
   sPKPab    sPKPab
    PKPdif    PKPdif
    PKPdiff   PKPdif
   pPKPdif   pPKPdif
   pPKPdiff  pPKPdif
   sPKPdif   sPKPdif
   sPKPdiff  sPKPdif
    PKS       PKSdf
    PKSab     PKSab
    PKSbc     PKSbc
    PKSdf     PKSdf
    Pdiff     Pdif
    pdiff     Pdif
    PDIF      Pdif
    PDIFF     Pdif
    Pdif      Pdif
    pdif      Pdif
   pPdif     pPdif
   pPdiff    pPdif
   sPdif     sPdif
   sPdiff    sPdif
    PKKP      PKKPdf
